questions,answers
what is the procedure for cancelation of admission and take refund fees,"Those individuals who couldn’t obtain minimum required marks in HSC (60% for Engineering and 55% for BS programme) should immediately apply for refund of their Admission Fee. After deduction of Admission Process Fee, the remaining amount will be refunded. After this date, HEC Policy for refund will be applicable where a small portion will be refunded and after that only Security Deposit will be refunded. For refund Form E need to be filled in and submitted at Academic Section of Registrar Office."
how to find timetable of classes online,You can find it on your departments website/url.
how to find timetable of lab sessions online,You can find it on your departments website/url.
is there any video of complete university tour,Yes you can find it on internet. Please search for NED VIDEOGRAPHIC TOUR.
is there any food courts in university,Various Canteens are functioning under the DSA to provide hygienic and quality food to the students.
how many cafes and canteens in the university,There are around 5 to 7 canteens situated in NED at different spots.
do the shuttle of ned move everytime in the university premises,"No, NED shuttles follows fixed timings. For further details please check document for NED Shuttle Services."
how many shuttle are available,There are total 16 shuttles available at NED.
what are the pickup point for the shuttle,You need to check 'NED Shuttle Services' list and search the shuttle number according to your area. You can find this list at NED's main website.
where are all the points stop in the university,University point will pick you from pickup point and will drop you at university's main gate. There is a separate point area in university alloted for all the shuttle buses.
what is the procedure for the hostel reservation,"Students are required to apply online for hostel accommodation at www.neduet.edu.pk/admission. After registration get printout the form along-with attachments and post the same through courier with the following documents in the name of Provost, NED University of Engineering & Technology, Karachi. The request of hostel accommodation will be entertained on First-cum-First registration basis."
do religion has a problem in university,No
is there any problem following other religion in the university,No
"how to report any misbehaviour, mishap, harrassment, and where to report it with in university ","In case of any misbehavior or harassment a complaint may be lodged by any person who has experienced sexual harassment as defined in Prohibited Conduct with Jurisdiction of university’s harassment policy, with either the Focal Person or with any member of the Sexual Harassment Inquiry Committee. For further details please check .pdf file for university’s harassment policy."
is there any list where all the points stop location allocated,Yes you can find it on NED's website. Please google for 'NED Shuttle Services'.
what are the course outline of cis 1st year,"Fundamentals of Computer Engineering, Basic Electronics, Basic Electrical Engineering, Object Oriented Programming, Functional English, Applied Physics, Computer Programming, Discrete Structures, Pakistan Studies, Islamic Studies, Pakistan Studies (For Foreigners), Ethical Behaviour, Calculus, Chinese Language"
what are the course outline of cis 2nd year,"Digital Logic Design, Computer Organization & Design, Complex Variable & Fourier Analysis, Signals and Systems, Circuit Theory, Database Management Systems, Data Structure & Algorithms, Linear Algebra & Ordinary Differential Equation, Business Communication, Professional Ethics, Computer Engineering Workshop, HSK-II Chinese Language"
what are the course outline of cis 3rd year,"Probability and Statistics, Operating Systems, Software Engineering, Microprocessor Based System Design, Computer Communication Networks, Elective-1, Computer Architecture, Numerical Methods, Artificial Intelligence, Engineering Economics & Management"
what are the course outline of cis last year,"Entrepreneurship of Computer Engineers, Computer Engineering Project, Digital Signal Processing, Computer Systems Modelling, Digital System Design, Distributed Computing, Computer Engineering Project, Elective-3, Elective-2, Organizational Behaviour"
what are the course outline of ME 1st year,"Applied Chemistry, Applied Physics, Calculus, Functional English, Pakistan Studies OR Workshop Practice, Pakistan Studies (for Foreigners), Statics, Engineering Drawing, Thermodynamics, Computer Aided Drawing, Computer Programming and Applications, Basic Electricity and Electronics, HSK-I Chinese Language-I, Community Service"
what are the course outline of ME 2nd year,"Ordinary Differential Equations and Fourier Series, Applied Probability & Statistics, Fluid Mechanics-I, Solid Mechanics-I, Dynamics, Materials & Metallurgy, Engineering Mechanics Lab, Islamic Studies, Manufacturing Processes-I, Ethical Behaviour (for Non-Muslims), Internal Combustion Engines, Business Communication & Ethics, HSK-II Chinese Language-II, Mechanics of Machine"
what are the course outline of ME 3rd year,"Manufacturing Processes-II, Advanced Calculus & Linear Algebra, Power Plant Engineering, Instrumentation and Control, IC Engine and Power Plant Lab, Machine Design, Solid Mechanics-II, Heat & Mass Transfer, Fluid Mechanics-II, Refrigeration & Air Conditioning Refrigeration & Air Condition & Heat & Mass Transfer Lab"
what are the course outline of ME last year,"Applied Economics for Engineers, Entrepreneurship, Mechanical Vibration, Advanced Mathematical Techniques, Machine design and Vibration Lab, Mechanical Engineering Project, Mechanical Engineering Project, Compressible Flow and Propulsion Systems, Stress Analysis, Operations Management, Management Elective Course, Technical Elective Course 2, Technical Elective Course 1"
what are the course outline of CE 1st year,"Engineering Drawing-I, Engineering Surveying-I , Statics and Dynamics, Chemistry for Civil Engineers, Engineering Materials, Introduction to Computing for Civil Engineers, Basic Electrical Engineering, Basic Mechanical Engineering, Calculus, Functional English, Pakistan Studies, Linear Algebra & Ordinary Differential Equations, Pakistan Studies (for Foreigners), Chinese Language"
what are the course outline of CE 2nd year,"Engineering Surveying-II, Mechanics of Solids-I, Geology for engineers, Islamic studies or ethical behavior for non-Muslims, business communication engineering drawing, structural analysis, fluid mechanics, Probability and statistics, professional ethics, Applied economics for engineers."
what are the course outline of CE 3rd year,"Reinforced Concrete Design-I, Construction Engineering, Quantity & Cost Estimation, Fluid Mechanics-II, Architecture and Town Planning, Numerical Analysis, Transportation Engineering-I, Soil Mechanics-I, Structural Analysis-II, Mechanics of Solids-II, Essentials in Construction Project Management"
what are the course outline of CE last year,"Soil Mechanics-II, Transportation Engineering-II, Hydraulic and Water Resources Engineering-I, Reinforced Concrete Design-II, Environmental Engineering-I, Civil Engineering Project, Design of Steel Structures, Civil Engineering Elective, Management Sciences Elective, Social Sciences Elective, Environmental Engineering-II, Civil Engineering Project"
what are the course outline of IM 1st year,"Calculus, Applied Physics, Engineering Mechanics, Functional English, Basic Electricity and Electronics, Engineering Drawing, Workshop Practice, Computer Applications in Engineering, Pakistan Studies, Thermo fluids, Pakistan Studies for Foreigners, Chinese Language"
what are the course outline of IM 2nd year,"Materials Engineering, Linear Algebra & Ordinary Differential Equations, Mechanics of Materials, Applied Economics for Engineers, Manufacturing Processes, Machine Design, Introduction to Probability and Statistics, Computer Aided Engineering Design, Islamic Studies, Metrology and Quality Control, Ethical Behaviour, Chinese Language"
what are the course outline of IM 3rd year,"Business Communication & Ethics, Operations Research, Production Management, Advanced Manufacturing Processes, Advanced Calculus & Fourier Analysis, Automation & Robotics, Applied Thermo Fluids, Methods Engineering, Tool Design, Modeling and Simulation"
what are the course outline of IM last year,"Finite Element Analysis, Entrepreneurship, Computer Aided Manufacturing, Health, Safety & Environment, Principles of Supply Chain Management, Advanced Mathematical Techniques, Elective Course, Plant Engineering, Manufacturing Engineering Project, Manufacturing Engineering Project"
what are the course outline of PE 1st year,"Fundamentals of Petroleum Engineering, Engineering Geosciences, Principles of Electrical Engineering, Engineering Mechanics, Engineering Surveying, Engineering Drawing, Applied Chemistry, Applied Physics, Calculus, Functional English, Pakistan Studies, Chinese Language, Pakistan Studies (for Foreigners)"
what are the course outline of PE 2nd year,"Linear Algebra & Ordinary Differential Equations, Computer Programming & Application, Petroleum Geology, Mechanics of Solids, Reservoir Petrophysics, Fluid Mechanics-II, Fluid Mechanics, Drilling Engineering-I, Thermodynamics – I, Probability & Statistics, Islamic Studies OR Ethical Behaviour, HSK-II Chinese Language"
what are the course outline of PE 3rd year,"Reservoir Fluid Properties, Drilling Engineering-II, Structural Geology & Geophysical Exploration, Petroleum Production Economics, Subsurface Production Engineering, Reservoir Engineering – I, Natural Gas Engineering, Fundamentals of Well Logging, Instrumentation & Control, Numerical Methods, Business Communication and Ethics"
what are the course outline of PE last year,"Reservoir Simulation, Oil and Gas Field Production Facilities, Reservoir Engineering-II, Water Flooding and Introduction to Enhanced Oil Recovery, Well Testing, Introduction to Unconventional Oil, Gas & Energy Resources, Petroleum Refinery Engineering, Petroleum Property Environment & Safety Management, Project Planning & Management, Petroleum Engineering Project, Petroleum Engineering Project"
what are the course outline of AU 1st year,"Applied Physics, Statistics, Introduction to Automotive Systems, Thermodynamics, Functional English, Engineering Drawing and Computer Graphics, Calculus, Basic Electricity and Electronics, Pakistan Studies,  Applied Chemistry, Pakistan Studies (for Foreigner), HSK-I Chinese Language , Workshop Practice Engineering Project, Manufacturing Engineering Project"
what are the course outline of AU 2nd year,"Automotive Power Plants, Dynamics, Computer Programming and Applications, Solid Mechanics-I, Fundamentals of Analogue and Digital Electronics, Manufacturing Engineering-I, Ordinary Differential Equations & Fourier Series, Automobile Instrumentation, Materials & Metallurgy, Fluid Mechanics-I, Statistics & Quality Control, Islamic Studies, Chinese Language, Ethical Behaviour (for Non-Muslims)"
what are the course outline of AU 3rd year,"Combustion, Emission and Pollution, Design of Machine Elements, Manufacturing Engineering-II, Applied Numerical Methods, Solid Mechanics-II, Fluid Mechanics-II, Advanced Calculus & Linear Algebra, Mechanical Vibrations, Business Communication & Ethics, Applied Economics for Engineers, Vehicle Dynamics"
what are the course outline of AU last year,"Vehicle Design, Vehicle Thermal Management, Mechatronics, Automotive Transmission & Drives, Elective Course, Product Development and Operations Management, Heat & Mass Transfer, FEM and FVM: Applications in Automotive Engineering, Automotive Engineering Project, Entrepreneurship, Automotive Engineering Project"
what are the course outline of CF 1st year,"Calculus-I, Calculus-II, Principles of Economics, Computer Applications in Finance, Functional English, Data Structure Algorithm & Application, Introduction to Financial Accounting, Discrete Mathematics, Islamic Studies, Pakistan Studies, Ethical Behavior (Non-Muslim), Pakistan Studies (for Foreigners), Programming Languages, Cost Accounting, Chinese Language"
what are the course outline of CF 2nd year,"Linear Algebra & Geometry, Statistical Inference, Multivariate Calculus, Introduction to Mathematical Finance, Introduction to Probability & Statistics, Differential Equations, Oral Communications, Macroeconomics, Microeconomics, Stochastic Calculus, Chinese Language"
what are the course outline of CF 3rd year,"Operations Research, Numerical Methods, Financial Management, E-Commerce, Discrete-Time Finance, Financial Risk Management, Financial Derivatives, Stochastic Models in Finance, Business and Organizational Communications, Logic & Critical Thinking"
what are the course outline of CF last year,"Entrepreneurship, Econometrics, Continuous-Time Finance, Financial Engineering, Elective-1, Elective-3, Elective-2, Elective-4, Computational Finance Project, Computational Finance Project"
what are the course outline of TE 1st year,"Introduction to Textile Engineering, Textile Chemistry, Applied Physics, Thermodynamics, Engineering Drawing, Workshop Practice, Calculus, Basic Electricity and Electronics, Pakistan Studies OR Pakistan Studies (for foreigner), Engineering Mechanics, Functional English, Polymer and Fiber Science, HSK-I Chinese Language"
what are the course outline of TE 2nd year,"Mechanics of Material, Textile Yarn Manufacturing, Material Science, Pre-Treatment of Textile, Computer Programming & Application, Machine Design, Fluid Mechanics for Textiles, Manufacturing Processes, Linear Algebra & Ordinary Differential Equations, Islamic Studies, Chinese Language, Ethical Behaviour"
what are the course outline of TE 3rd year,"Textile Fabric Manufacturing Processes, Garment Manufacturing, Utilities for Textile Industry, Textile Product Evaluation-I, Applied Economics for Engineers, Heat & Mass Transfer, Textile Dyeing, Textile & Environment, Business Communication & Ethics, Quality Control in Textiles, Advanced Calculus & Fourier Analysis"
what are the course outline of TE last year,"Organizational Behavior, Entrepreneurship, Advanced Fabric Manufacturing Mechanism, Automation & Control in Textiles, Elective Course, Elective Course, Textile Engineering Design Project, Textile Engineering Design Project, Textile Product Evaluation-II"
what are the course outline of AR 1st year,"Basic Design-I, Basic Design-II, Introduction to Environmental Studies, Introduction to History, Theory and Culture, Communications and Allied Skills-I, Communication and Allied Skills-II, Functional English, Construction and Materials-I, Mathematics for Architects, Fundamentals of Statics, Basic Physics for Architects, Pakistan Studies, Basic Chemistry for Architects, Pakistan Studies (for Foreigners), Chinese Language"
what are the course outline of AR 2nd year,"Architectural Design-I, Architectural Design-II, History and Theory-I, History and Theory-II, Communication and Allied Skills-III, Development Studies, Construction and Materials-II, Environmental Design and Systems-I, Surveying for Architects, Communication and Allied Skills-IV, Islamic Studies, Structure for Architects-I, Ethical Behaviour (for Non-Muslims), Chinese Language"
what are the course outline of AR 3rd year,"Architectural Design-III, Architectural Design-IV, Introduction to Landscape Architecture, History and Theory-IV, History and Theory-III, Housing and Community Development, Environmental Design and Systems-II, Communication and Allied Skills-V, Construction and Materials-III, Construction and Materials-IV, Introduction to Architectural Conservation, Structure for Architects-II"
what are the course outline of AR last year,Architectural Design-V 1 5 6 AR-402 Architectural Design-VI 1 5 6 AR-403 Introduction to Interior Design 1 2 3 AR-421 Urban Planning and Design 2 1 3 AR-411 History and Theory-V 2 1 3 AR-431 Environmental Design and Systems-III 2 1 3 AR-442 Communication and Allied Skills-VI 1 2 3 AR-461 Research Methodologies 2 1 3 AR-451 Construction and Materials-V 1 2 3 AR-XXX Elective
what are the course outline of IC 1st year,"Inorganic Chemistry-I, Analytical Chemistry-I, Organic Chemistry-I, Physical Chemistry-I, Industrial Chemistry Lab-I, Industrial Chemistry Lab-II, Functional English, Fundamentals of Electrical Engineering, General Physics-I, Fundamental of Information Technology, Calculus, Pakistan Studies, Pakistan Studies (Foreigners), General Physics-II, Chinese Language"
what are the course outline of IC 2nd year,"Inorganic Chemistry-II, Analytical Chemistry-II, Organic Chemistry-II, Physical Chemistry-II, Industrial Chemistry Lab-III, Industrial Chemistry Lab-IV, Islamic Studies, Oral Communication, Ethical Behavior (for Non-Muslim), Fluid Mechanics-I, Ordinary Differential Equations & Fourier Series, Basic Electronics, Probability & Statistics, Programming Languages, Chinese Language"
what are the course outline of IC 3rd year,"Business & Organizational Communication, Separation Techniques, Thermodynamics, Reaction Kinetics, Spectroscopy, Unit Processes, Polymer Science, Industrial Chemistry Lab VI, Industrial Stoichiometry, Natural Products, Industrial Chemistry Lab V, Nuclear & Radiation Chemistry, Chemical Process Industries"
what are the course outline of IC last year,"Environmental Chemistry, Quality Assurance for Chemists, Industrial Safety & Maintenance Management, Elective-3, Elective-1, Elective-4, Elective-2, Industrial Chemistry Project"
what are the course outline of EC 1st year,"Microeconomics-I, Macro Economics-I, Introduction to Mathematics, Financial Accounting, Principles of Accounting, Information Technology in Business Economics , Introduction to Computer Applications, Functional English, Academic Reading & Writing, Pakistan Studies, Principles of Management, Pakistan Studies for Foreigners, Chinese Language"
what are the course outline of EC 2nd year,"Microeconomics-II, Macro Economics-II, Statistics & Probability, Development Economics, Cost Accounting, Economy of Pakistan, Computer Application to Business & Finance, Statistics Inference, Oral Communication, Managerial Accounting, Islamic Studies, Introduction to Business Finance, Ethical Behavior (for Non-Muslim), Chinese Language"
what are the course outline of EC 3rd year,"Political Economics, Comparative Economic System, Mathematical Economics-I, Mathematical Economics-II, Econometrics-I, Econometric-II, Money and Banking, Business Research Methods, Business and Organizational Communication, Financial Management"
what are the course outline of EC last year,"Public Finance, Islamic Economics, International Trade Theory, Elective-III (Economics), Applied Economics, Elective-IV (Finance), Elective-I (Economics), Elective-V (Economics / Finance), Elective-II (Finance), Final Year Project"
what are the course outline of EG 1st year,"Functional English, Academic Reading & Writing, Pakistan Studies, Islamic Studies, Pakistan Studies (for Foreigners), Ethical Behaviour (for non-Muslims), Anthropology, Introduction to Computer Applications, Foundation of Education,  Media Studies, Introduction to English Literature-I, History of English Literature-I, Introduction to Linguistics, Phonetics & Phonology, Chinese Language"
what are the course outline of EG 2nd year,"Oral Communication, Business Communication, Philosophy, Organizational Behaviour, Principles of Economics, Human Rights & Citizenship, Visionary Discourse, History of English Literature-II, Morphology & Syntax-I, Semantics, Introduction to English Literature-II, Chinese Language"
what are the course outline of EG 3rd year,"Introduction to Statistics, Introduction to Research, Morphology & Syntax-II, Lexical Studies, Sociolinguistics, Discourse Analysis, Pedagogical Grammar, Psycholinguistics, Elective-I, Human Resource Management, Elective-II, Elective-III"
what are the course outline of EG last year,"Research Methods in Linguistics, Stylistics, Second Language Acquisition, Language, Culture & Identity, Language Teaching Methodologies, Genre Analysis, Pragmatics, Syllabus Designing & Testing, Project"
what are the course outline of AP 1st year,"Introduction to Computer, Differential Equations, Calculus, Programming Language, Mechanics & Properties of Matter, Waves & Oscillations, Heat & Thermodynamics, Electricity & Magnetism, General Chemistry-I, Physics Lab-II, Physics Lab-I, General Chemistry-II, Pakistan Studies, Functional English, Pakistan Studies(for Foreigners), Chinese Language"
what are the course outline of AP 2nd year,"Oral Communication, Classical Mechanics, Optics, Introduction to Material Science, Modern Physics, Probability & Statistics, Physics Lab-III, Complex Variables & Fourier Transforms, Linear Algebra & Geometry, Digital Electronics, Electronics, Physics Lab-IV, Islamic Studies, Ethical Behaviour (for Non-Muslims), Chinese Language"
what are the course outline of AP 3rd year,"Quantum Mechanics-I, Mathematical Physics-II, Laser Engineering, Quantum Mechanics-II, Mathematical Physics-I, Electromagnetic Theory-II, Electromagnetic Theory-I, Solid State Physics-I, Vacuum Science, Physics Lab-VI, Business & Organizational Communication, Cosmology and Theory of Relativity, Physics Lab-V"
what are the course outline of AP last year,"Computational Physics, Power Electronics, Atomic & Molecular Physics, Elective-2, Solid State Physics-II, Applied Physics Project, Nuclear Physics, Introduction to Nanoscience and Nanotechnologies, Applied Physics Project, Surface Science, Elective-1, Physics Lab-VII, Statistical Mechanics"
what would you like to say about chemical engineering,"The Department of Chemical Engineering at NED University provides creative and comfortable learning environment for the students with the experience of highly qualified Professors and technologically sound young and enthusiastic lecturers. At the department, we maintain several laboratories in order to give our undergraduates hands-on experience in a wide variety of chemical engineering specialties such as Thermodynamics, Heat transfer, Analytical chemistry, Fluid flow, Process control and Particulate technology."
how long does it take exactly to issue books from library,Maximum one day.
can you suggest me good youtube channels for CIS,"Paolo from JAPAN, Aman Dhattarwal, Neso Academy, CS Dojo, Simplilearn, Free Code Camp"
can you suggest me good youtube channels for SE,"Kalle Hallden, Joma Tech, freeCodeCamp, edureka, thenewboston, TechWorld with Nana, Traversy Media, Will Kwan."
can you suggest me good youtube channels for CT,"Kalle Hallden, Joma Tech, freeCodeCamp, edureka, thenewboston, TechWorld with Nana, Traversy Media, Will Kwan."
can you suggest me good youtube channels for ME,"Jeremy Fielding, MIT Mechanical Engineering, Learn Mechanical, Purdue University Mechanical Engineering, MECHANICAL MANIA, Mech Zone, MECHANICAL ENGINEERING EXPLAINED OFFICIAL, Mechanical. Study-free online classes."
can you suggest me good youtube channels for EE,"M4 – Tech, Machinery & Technology, TED-ED, Practical Engineering, The Engineering Mindset, Lesics"
can you suggest me good youtube channels for CH,"NPTEL - Chemical Engineering, Engineered Truth, Major Prep, Advanced Process Separations, Chemical Engineering Resources"
can you suggest me good youtube channels for CE,"NPTEL Civil Engineering Channel, Nptelhrd, Wifi Study, Civil 101, Structurefree, Civil Engineering, Gregory Michaelson"
can you suggest me good youtube channels for EL,"M4 – Tech, Machinery & Technology, TED-ED, Practical Engineering, The Engineering Mindset, Lesics"
can you suggest me good youtube channels for AU,"DDE, Donut Media, Doug DeMuro, Driver61, Engineering Explained, Grind Hard Plumbing Co, Jay Leno's Garage, Motor Trend Channel"
can you suggest me good youtube channels for PP,"NurdRage, Reactions, Thoisoi2 - Chemical Experiments, LearnChemE, Wayne Breslyn | Chemistry Youtuber"
can you suggest me good youtube channels for PE,"Society of Petroleum Engineers, ExxonMobil, The American Petroleum Institute, S&P Global Platts, OGV Energy, EnergyNow, Oil & Gas Middle East, EnerCom Inc."
how can i find the list of students of electrical first year,You might find list on departmental website.
how can i find the list of students of electrical second year,You might find list on departmental website.
how can i find the list of students of electrical third year,You might find list on departmental website.
how can i find the list of students of electrical final year,You might find list on departmental website.
how can i find the list of students of first year,You might find list on departmental website.
how can i find the list of students of CIS second year,You might find list on departmental website.
how can i find the list of students of CIS third year,You might find list on departmental website.
how can i find the list of students of CIS final year,You might find list on departmental website.
how can i find the list of students of SE first year,You might find list on departmental website.
how can i find the list of students of SE second year,You might find list on departmental website.
how can i find the list of students of SE third year,You might find list on departmental website.
how can i find the list of students of SE final year,You might find list on departmental website.
how can i find the list of students of CT first year,You might find list on departmental website.
how can i find the list of students of CT second year,You might find list on departmental website.
how can i find the list of students of CT third year,You might find list on departmental website.
how can i find the list of students of CT final year,You might find list on departmental website.
how can i find the list of students of ME first year,You might find list on departmental website.
how can i find the list of students of ME second year,You might find list on departmental website.
how can i find the list of students of ME third year,You might find list on departmental website.
how can i find the list of students of ME final year,You might find list on departmental website.
how can i find the list of students of EE first year,You might find list on departmental website.
how can i find the list of students of EE second year,You might find list on departmental website.
how can i find the list of students of EE third year,You might find list on departmental website.
how can i find the list of students of EE final year,You might find list on departmental website.
how can i find the list of students of CH first year,You might find list on departmental website.
how can i find the list of students of CH second year,You might find list on departmental website.
how can i find the list of students of CH third year,You might find list on departmental website.
how can i find the list of students of CH final year,You might find list on departmental website.
how can i find the list of students of IM first year,You might find list on departmental website.
how can i find the list of students of IM second year,You might find list on departmental website.
how can i find the list of students of IM third year,You might find list on departmental website.
how can i find the list of students of IM final year,You might find list on departmental website.
how can i find the list of students of CE first year,You might find list on departmental website.
how can i find the list of students of CE second year,You might find list on departmental website.
how can i find the list of students of CE third year,You might find list on departmental website.
how can i find the list of students of CE final year,You might find list on departmental website.
how can i find the list of students of TE first year,You might find list on departmental website.
how can i find the list of students of TE second year,You might find list on departmental website.
how can i find the list of students of TE third year,You might find list on departmental website.
how can i find the list of students of TE final year,You might find list on departmental website.
how can i find the list of students of CN first year,You might find list on departmental website.
how can i find the list of students of CN second year,You might find list on departmental website.
how can i find the list of students of CN third year,You might find list on departmental website.
how can i find the list of students of CN final year,You might find list on departmental website.
how can i find the list of students of EL first year,You might find list on departmental website.
how can i find the list of students of EL second year,You might find list on departmental website.
how can i find the list of students of EL third year,You might find list on departmental website.
how can i find the list of students of EL final year,You might find list on departmental website.
how can i find the list of students of AU first year,You might find list on departmental website.
how can i find the list of students of AU second year,You might find list on departmental website.
how can i find the list of students of AU third year,You might find list on departmental website.
how can i find the list of students of AU final year,You might find list on departmental website.
how can i find the list of students of PP first year,You might find list on departmental website.
how can i find the list of students of PP second year,You might find list on departmental website.
how can i find the list of students of PP third year,You might find list on departmental website.
how can i find the list of students of PP final year,You might find list on departmental website.
how can i find the list of students of TC first year,You might find list on departmental website.
how can i find the list of students of TC second year,You might find list on departmental website.
how can i find the list of students of TC third year,You might find list on departmental website.
how can i find the list of students of TC final year,You might find list on departmental website.
how can i find the list of students of PE first year,You might find list on departmental website.
how can i find the list of students of PE second year,You might find list on departmental website.
how can i find the list of students of PE third year,You might find list on departmental website.
how can i find the list of students of PE final year,You might find list on departmental website.
how can i find the list of students of FD first year,You might find list on departmental website.
how can i find the list of students of FD second year,You might find list on departmental website.
how can i find the list of students of FD third year,You might find list on departmental website.
how can i find the list of students of FD final year,You might find list on departmental website.
how can i find the list of students of AR first year,You might find list on departmental website.
how can i find the list of students of AR second year,You might find list on departmental website.
how can i find the list of students of AR third year,You might find list on departmental website.
how can i find the list of students of AR final year,You might find list on departmental website.
how can i find the list of students of MM first year,You might find list on departmental website.
how can i find the list of students of MM second year,You might find list on departmental website.
how can i find the list of students of MM third year,You might find list on departmental website.
how can i find the list of students of MM final year,You might find list on departmental website.
how can i find the list of students of MY first year,You might find list on departmental website.
how can i find the list of students of MY second year,You might find list on departmental website.
how can i find the list of students of MY third year,You might find list on departmental website.
how can i find the list of students of MY final year,You might find list on departmental website.
how can i find the list of students of CF first year,You might find list on departmental website.
how can i find the list of students of CF second year,You might find list on departmental website.
how can i find the list of students of CF third year,You might find list on departmental website.
how can i find the list of students of CF final year,You might find list on departmental website.
how can i find the list of students of UE first year,You might find list on departmental website.
how can i find the list of students of UE second year,You might find list on departmental website.
how can i find the list of students of UE third year,You might find list on departmental website.
how can i find the list of students of UE final year,You might find list on departmental website.
how can i find the list of students of MG first year,You might find list on departmental website.
how can i find the list of students of MG second year,You might find list on departmental website.
how can i find the list of students of MG third year,You might find list on departmental website.
